# {"analyzer":"char_wb","feature_count":30000,"format":"armorer_native_linear_tfidf_v1","intercepts":[-1.1839083824695178,-7.725111325800931,-5.398444811609162,-5.926114894318232,-5.984136354105322,-5.46617221122413],"labels":["prompt_injection","system_prompt_extraction","data_exfiltration","sensitive_data_request","safety_bypass","destructive_command"],"lowercase":true,"model_name":"char-wb-public-distill-30k-v1","ngram_range":[3,5],"norm":"l2","smooth_idf":true,"source_model":"models/semantic_experiments/char-wb-public-distill-30k-v1/semantic_classifier.joblib","sublinear_tf":false,"threshold":0.65,"token_pattern":"(?u)\\b\\w\\w+\\b","use_idf":true}
# term	idf	coef_prompt_injection	coef_system_prompt_extraction	coef_data_exfiltration	coef_sensitive_data_request	coef_safety_bypass	coef_destructive_command
 #22	7.01361256388	0.00385696156394	-0.000563402465527	-0.00101027266479	-0.00126185543872	-0.000826837416768	-0.00150385626636
 #222	7.24025874575	0.00323222635755	-0.000313317345886	-0.00074887998768	-0.00112280206113	-0.000670702436318	-0.00068210597122
 #23	6.77796016287	0.00161625644438	-0.000219646137581	-0.000592949841815	-0.000606400940491	-0.00051509272523	-0.000561982646738
 #24	7.60700934167	0.00571247646892	-0.00038155578002	-0.000983650015506	-0.00081431826521	-0.00115478466077	-0.00116340326248
 #242	8.10525618323	0.00547167168699	-0.000350389102241	-0.000927070583283	-0.000768103585917	-0.00110227063546	-0.00102790862652
 #26	6.88270699333	0.0162550402321	-0.00441990075864	-0.00474278764588	-0.007344154518	-0.00278656377435	-0.00531047069985
 #262	7.34172820591	0.0159496303661	-0.00339171334767	-0.00359580239548	-0.00708217473383	-0.0024101094456	-0.00488480747065
 #27	5.67018190719	0.00579836902328	-0.00285761527279	-0.00281218579515	-0.00456939574177	-0.00226858782463	-0.00384777320238
 #272	5.75985109306	0.00537478883184	-0.00286215601746	-0.0027309165531	-0.00453692877223	-0.00220264633285	-0.003768834149
 #28	6.33810252481	0.00690925663084	-0.000513958204081	-0.00132417410978	-0.00136907632362	-0.00113049808973	-0.00150523835278
 #282	7.48782082441	0.00302069509129	-0.000279207697863	-0.000449498849565	-0.000403672375579	-0.00042624910947	-0.000354537647809
 #28a	6.89505282916	0.00432705310551	-0.000280121922776	-0.00094374129935	-0.00104627243456	-0.000781566636123	-0.00123730367782
