# {"analyzer":"word","feature_count":5174,"format":"armorer_native_linear_tfidf_v1","intercepts":[-1.3641994678549927,-2.5786270743866337,-2.009297181560698,-2.679952608031897,-2.2421035257413657,-2.0937376794786706],"labels":["prompt_injection","system_prompt_extraction","data_exfiltration","sensitive_data_request","safety_bypass","destructive_command"],"lowercase":true,"model_name":"word-sgd-native-v1","ngram_range":[1,2],"norm":"l2","smooth_idf":true,"source_model":"models/semantic_experiments/word-sgd-onnx-t014/semantic_classifier.joblib","sublinear_tf":false,"threshold":0.8,"token_pattern":"(?u)\\b\\w\\w+\\b","use_idf":true}
# term	idf	coef_prompt_injection	coef_system_prompt_extraction	coef_data_exfiltration	coef_sensitive_data_request	coef_safety_bypass	coef_destructive_command
acrostic command	7.37534418961	0.926578918877	-0.163647479795	-0.147194005462	-0.127885723195	-0.199822070106	-0.210391559674
act	8.20202276279	1.4696577671	-0.350880936169	-0.235328549714	-0.249415853812	-0.46313697344	-0.0381119537969
act as	8.20202276279	1.4696577671	-0.350880936169	-0.235328549714	-0.249415853812	-0.46313697344	-0.0381119537969
action	3.22430428371	0.226458594741	-0.834131230044	-1.13113566492	-0.669156043947	-0.176620756401	-0.817870730224
action agentdojo	8.20202276279	0.497431041923	-0.0560291536867	-0.0908049459917	-0.0343837920116	-0.175716681227	-0.117862669491
action as	7.75003763905	-0.551808571862	-0.0656941431973	-0.398818698121	-0.053182748059	1.73233711103	-0.318965089472
action boundary	6.1776409983	0.354735397826	-0.18037234347	-0.0376941461761	-0.184797990269	0.580561835907	0.403216415691
action classroom	7.75003763905	-0.0327256319086	-0.0239279561582	-0.0231734985875	-0.021965978466	-0.0199542351698	-0.0262555453915
action developer	7.37534418961	-0.0414023207744	-0.131011376577	-0.0276293995187	-0.0248354766235	-0.0251872055938	-0.0276889940508
action do	8.76163855073	-0.261811451863	-0.0249618769116	-0.0387392160675	-0.0912493197322	-0.0395167213354	-0.0317139200138
action documentation	7.66302626206	-0.0669835005001	-0.0246558597136	-0.0329605884337	-0.0282360406455	-0.0289829383693	-0.0394061201468
action end	6.71394570736	-0.079294399112	-0.0497072739549	-0.0914262428561	-0.0482038546972	-0.0689889690449	-0.0919693643632
action in	8.20202276279	1.14289525208	-0.0621170020968	-0.244078210069	-0.347839170689	-0.112725229727	-0.127300227678
action instruction	8.35617344262	-0.431854680457	-0.0511572133777	-0.00853171268161	-0.0361342227375	-0.0204960369316	-0.0184658273773
action items	8.53849499941	-0.0818724154975	-0.0275937316732	-0.0365060533176	-0.0332442110261	-0.05470224717	-0.0839215917594
action must	3.95966878876	0.337051388555	0.186001067995	0.23369902665	0.173380104223	0.168338104172	0.457860032971
action product	7.84534781885	-0.0424084592102	-0.115831428174	-0.0218433300176	-0.0363615132238	-0.0254835873254	-0.0341919083665
action required	6.48437126572	0.632012317337	-0.269974404308	0.156067959869	0.00347314547537	-0.402730129215	-0.268112387787
action security	7.84534781885	-0.026639050481	-0.0186517151774	-0.0228825698802	-0.0195496599682	-0.0285763861189	-0.0301688108146
action source	7.31471956779	-0.053825817345	-0.0643523629128	-0.0507995617342	-0.139036022798	-0.095382029969	-0.096306839819
action this	5.83044479831	-0.0972062227758	-0.0764268598214	-0.0779816045713	-0.0486468862692	-0.112260792244	-0.0781646817645
